Id,Expected
117718-60-2;1658,1
143-22-6;2452,2
61-73-4;1856,1
111988-49-9;1616,2
23564-05-8;1657,2
2687-25-4;1386,2
161050-58-4;26,2
122-57-6;2452,2
290352-28-2;1374,1
21725-46-2;4,2
131-56-6;1855,2
90-47-1;2452,2
66332-96-5;1856,2
50-65-7;1375,2
52645-53-1;15,2
834-12-8;1386,2
129298-91-5;1384,2
94-59-7;2453,2
2451-62-9;1510,2
131807-57-3;1372,2
2795-39-3;1388,2
81-07-2;1857,2
97322-87-7;1377,2
57966-95-7;1387,1
115-32-2;1855,2
80844-07-1;1797,2
765-70-8;2453,2
53112-28-0;9,2
139149-55-6;33,2
184653-84-7;2,2
111988-49-9;1636,1
105-99-7;1382,2
NOCAS_47353;36,2
89-05-4;1852,2
851916-42-2;39,2
79-44-7;1389,2
2164-17-2;40,2
96-45-7;14,2
111-27-3;1855,2
1912-24-9;1389,2
96-70-8;1386,2
87674-68-8;1383,1
127277-53-6;1653,2
131-17-9;23,2
7681-65-4;2,2
122-39-4;1653,2
121552-61-2;1617,1
180084-01-9;1383,2
60-09-3;1374,1
166412-78-8;2451,2
2078-54-8;2453,2
7786-34-7;1648,2
1987-50-4;23,2
114311-32-9;1638,2
101-61-1;1377,2
54593-83-8;37,2
4291-63-8;1850,1
1918-00-9;1611,2
94-74-6;1855,2
96-18-4;1382,2
50-29-3;1383,2
2312-35-8;39,2
82-68-8;36,2
15972-60-8;17,2
117-81-7;1385,2
23031-36-9;1629,2
188425-85-6;1857,1
112-38-9;30,2
7173-51-5;1509,1
105-87-3;23,2
21725-46-2;2304,2
58-08-2;1688,2
101-80-4;1380,2
13071-79-9;29,2
51218-45-2;1385,2
42874-03-3;1376,2
375-85-9;24,2
556-61-6;1624,2
56-81-5;1375,2
23103-98-2;2451,2
133-07-3;1375,2
129298-91-5;1380,2
2451-62-9;1856,1
2761-24-2;1850,1
135158-54-2;1376,2
1061517-62-1;1372,2
298-04-4;1683,2
116-25-6;1855,2
950-37-8;1381,2
103-23-1;1850,2
69327-76-0;1377,2
106-93-4;1850,2
120068-37-3;1628,2
194098-25-4;2,2
112-42-5;33,2
122-39-4;1646,2
6915-15-7;1385,2
7705-08-0;2451,2
57-97-6;25,1
199171-88-5;28,2
28434-00-6;30,2
2835-95-2;1507,2
54-11-5;1856,2
123312-89-0;29,2
2310-17-0;1856,1
53894-23-8;1387,2
72-43-5;3,2
35575-96-3;1655,2
90-04-0;1797,2
80-08-0;1373,2
132-64-9;27,2
66230-04-4;1627,2
43121-43-3;13,2
144651-06-9;15,2
133-07-3;1638,2
533-74-4;1382,2
828-00-2;38,2
122454-29-9;2,2
126833-17-8;1385,2
557-34-6;2,1
759-94-4;1647,2
NOCAS_47292;2452,2
131-18-0;1377,2
50-28-2;1378,2
71751-41-2;11,2
83-79-4;39,2
1987-50-4;1388,2
10161-33-8;2442,2
60-09-3;25,2
74115-24-5;1657,1
117718-60-2;1383,2
446-72-0;38,2
112-40-3;2453,2
66332-96-5;11,2
759-94-4;31,2
59-05-2;33,2
86-50-0;11,2
105512-06-9;1649,2
103-65-1;1382,2
142459-58-3;19,2
127277-53-6;30,2
34256-82-1;6,2
104-21-2;2453,2
142-04-1;2451,2
104206-82-8;1683,2
62924-70-3;1635,2
10016-20-3;1850,2
2078-54-8;2,2
120-55-8;24,2
72490-01-8;11,2
2425-06-1;27,2
143-22-6;1857,2
131860-33-8;16,2
105-67-9;26,2
98967-40-9;12,2
68-26-8;1686,2
60168-88-9;17,2
131983-72-7;1658,2
124-13-0;1388,2
124-19-6;2453,2
98886-44-3;11,2
133-06-2;1627,2
939-48-0;2451,2
335-67-1;1623,2
420-04-2;1631,2
109293-97-2;2451,2
1918-00-9;1652,2
21725-46-2;1653,2
1111-78-0;1797,2
50-78-2;28,2
149413-74-1;2442,1
134-03-2;33,2
25498-49-1;28,2
122-03-2;2,2
69377-81-7;1616,2
31218-83-4;1850,2
24307-26-4;1688,2
17924-92-4;1856,1
84087-01-4;1649,1
95-65-8;1373,2
23135-22-0;1635,2
131-70-4;1657,2
89-83-8;1857,2
58-14-0;1682,1
92-84-2;34,2
298-04-4;1622,2
28434-00-6;2452,2
68555-86-2;2,2
114-26-1;1384,2
496-72-0;1375,2
120-32-1;35,2
115-96-8;33,2
149877-41-8;1509,1
57966-95-7;33,2
528-29-0;1387,2
194098-25-4;1372,2
64091-91-4;2453,2
115-29-7;29,2
126-11-4;1375,2
1061517-62-1;1855,2
54-85-3;27,2
55219-65-3;1651,2
94125-34-5;35,2
100-64-1;2452,2
111-14-8;2451,2
872-50-4;27,2
115-32-2;1852,1
72-43-5;27,2
NOCAS_48176;2451,2
105-99-7;1856,2
2303-17-5;1372,2
50-41-9;2,1
319-85-7;1375,2
97886-45-8;9,2
21725-46-2;40,2
96-48-0;39,2
23031-36-9;10,2
123-03-5;1852,1
149979-41-9;1652,2
264618-44-2;1387,2
102-71-6;35,2
59-30-3;1681,2
88-72-2;32,2
35575-96-3;24,2
99-65-0;1383,2
94-59-7;40,2
118-52-5;1386,2
57-13-6;1386,2
101-55-3;1389,2
2772-45-4;1508,1
97-53-0;2451,2
55406-53-6;1635,2
6734-80-1;1852,2
74115-24-5;1651,2
NOCAS_47394;27,2
6846-50-0;1384,2
629-76-5;34,2
111-76-2;1856,2
53112-28-0;33,2
3380-34-5;23,1
83-79-4;20,2
77501-63-4;2300,2
420-04-2;1618,2
122-14-5;30,2
298-04-4;40,2
122931-48-0;1625,2
NOCAS_47334;36,2
28434-00-6;39,2
135410-20-7;1623,2
95-94-3;1855,2
124378-77-4;1850,2
39515-41-8;12,2
78587-05-0;1638,2
1918-00-9;40,2
2122-70-5;1856,1
5598-13-0;1850,1
2008-41-5;13,2
5598-13-0;1389,1
42874-03-3;1385,2
41372-08-1;1510,1
136-45-8;1848,2
51235-04-2;1625,2
8018-01-7;11,2
120-36-5;10,2
112-53-8;1852,1
21087-64-9;1691,2
57-83-0;1855,1
123343-16-8;1639,2
99-30-9;36,2
84087-01-4;7,2
107071-66-9;2443,2
51-21-8;35,2
101-21-3;2452,2
NOCAS_47377;1686,2
2312-35-8;17,2
7549-33-9;1852,1
443-48-1;2451,2
5407-98-7;1856,1
128639-02-1;19,2
10265-92-6;1797,2
106-22-9;1388,2
117-84-0;2452,2
21725-46-2;1630,2
132-64-9;40,2
60207-90-1;2300,2
31218-83-4;1385,2
122008-85-9;1688,2
1689-84-5;1621,2
55283-68-6;1645,2
79-06-1;2451,2
115-95-7;2,2
41481-66-7;26,2
30560-19-1;2453,2
92-84-2;1683,2
85509-19-9;40,2
156052-68-5;23,1
22224-92-6;1636,2
94-75-7;19,2
87674-68-8;2444,2
68-22-4;2451,2
12427-38-2;1625,1
754-91-6;27,2
221246-12-4;24,2
57-11-4;27,2
68694-11-1;1616,1
141517-21-7;1856,1
759-94-4;1648,1
87-69-4;23,2
141-04-8;2451,2
101-84-8;2451,2
52-85-7;2,2
131-17-9;36,2
41198-08-7;1640,2
741-58-2;24,2
72178-02-0;38,2
2795-39-3;32,2
3337-71-1;1635,2
33089-61-1;1376,2
82097-50-5;1618,2
1338-43-8;2452,2
82657-04-3;1625,2
143-50-0;2442,1
127308-82-1;1383,1
3855-32-1;39,2
577-11-7;1690,2
1610-18-0;14,2
150-78-7;1856,2
7786-34-7;1650,2
107-07-3;1377,2
145701-21-9;1646,2
203942-49-8;1385,2
95-54-5;32,2
131807-57-3;6,2
NOCAS_47248;1374,2
76-03-9;1689,2
1698-60-8;1646,2
126-07-8;2452,2
133-06-2;1621,2
1698-60-8;1620,2
122836-35-5;1633,1
67-30-1;1387,2
43222-48-6;31,2
5915-41-3;1385,2
1260-17-9;24,2
21087-64-9;8,2
71751-41-2;1507,1
51-21-8;37,2
741-58-2;1629,2
109-77-3;1509,2
4376-20-9;1855,2
136-95-8;1508,1
68-22-4;26,2
90-94-8;1507,1
76-44-8;1388,2
79538-32-2;11,2
53-86-1;1507,1
129453-61-8;2307,2
63-42-3;1856,2
28434-00-6;2444,1
27178-16-1;1372,2
NOCAS_48172;2442,1
141517-21-7;1646,2
81777-89-1;1381,2
65277-42-1;1509,1
15299-99-7;1647,1
141-66-2;1651,2
28434-00-6;1625,1
5349-51-9;1850,2
645-56-7;1855,2
57-41-0;2,2
253450-09-8;2444,1
98967-40-9;1652,1
205-99-2;1373,2
76-44-8;23,1
6923-22-4;1616,2
123-35-3;1510,2
66215-27-8;2453,2
10043-35-3;1681,2
9006-42-2;12,2
67747-09-5;2307,2
1912-24-9;1642,1
90-04-0;1379,2
60-57-1;1858,2
35400-43-2;2453,2
2104-64-5;1855,2
108-98-5;2451,2
676116-04-4;1381,1
50471-44-8;1658,2
4376-20-9;1689,1
115-95-7;1855,1
94-26-8;24,2
6893-02-3;40,2
107071-66-9;1850,1
117337-19-6;13,2
123-11-5;2451,2
72-54-8;28,2
126535-15-7;35,2
23950-58-5;25,2
55-98-1;1387,2
111-11-5;36,2
2835-95-2;2447,1
98-01-1;1378,2
118-56-9;1852,1
100-02-7;2443,1
122-66-7;2452,2
106-49-0;1686,2
133-07-3;37,2
51218-45-2;1852,2
122-39-4;22,2
609-54-1;2,2
104-67-6;1797,1
83055-99-6;1646,2
668981-02-0;37,2
149062-75-9;32,2
78-42-2;2451,2
92-04-6;1850,2
52-68-6;1635,2
94125-34-5;1622,2
148477-71-8;2452,2
120-82-1;1377,2
131860-33-8;32,2
NOCAS_47328;2444,1
26530-20-1;23,1
101-55-3;1387,2
13466-78-9;1852,2
108-95-2;1508,2
13311-84-7;2305,2
298-04-4;2453,2
298-02-2;1379,2
119168-77-3;1613,2
3056-17-5;1850,2
115-77-5;1386,2
88-58-4;24,2
151506-44-4;27,2
13194-48-4;1624,2
112-00-5;29,2
51338-27-3;1619,2
143-22-6;1852,2
76738-62-0;1377,2
95-94-3;36,2
7696-12-0;1657,2
53-70-3;2453,2
111-15-9;1689,2
94125-34-5;15,2
203942-49-8;1386,2
82-68-8;9,2
29232-93-7;20,2
584-79-2;2447,2
335-67-1;1650,2
67747-09-5;1612,2
7287-19-6;11,2
148477-71-8;1656,2
2312-35-8;1375,2
36734-19-7;1649,1
80-05-7;1646,2
1689-84-5;1615,2
86-50-0;21,2
52645-53-1;19,2
68359-37-5;1611,2
103361-09-7;1614,2
1596-84-5;38,2
867-13-0;1852,1
1836-75-5;1857,1
2243-62-1;1374,2
67786-14-5;1856,2
119446-68-3;1624,2
83-67-0;38,2
NOCAS_47333;1376,2
404-86-4;2453,2
57-55-6;39,2
74223-64-6;1614,2
141-66-2;14,2
553-26-4;26,2
4455-26-9;1379,2
117-81-7;1379,2
75-60-5;1657,2
112-38-9;1387,2
56-72-4;1691,1
1861-40-1;1377,2
50-65-7;18,2
3380-34-5;2442,2
25498-49-1;1850,2
117-84-0;1857,1
69-65-8;24,2
2451-62-9;1848,2
6728-26-3;2,2
122836-35-5;1617,1
31218-83-4;1380,2
84-75-3;1376,2
30560-19-1;1620,2
188425-85-6;1618,2
95-48-7;1379,2
85-68-7;38,2
145-73-3;32,2
52918-63-5;1856,1
113734-18-2;30,2
41198-08-7;1647,2
52806-53-8;24,2
3252-43-5;1797,2
4376-18-5;7,2
80-05-7;1658,2
83834-59-7;1850,2
584-84-9;35,2
25956-17-6;37,2
25057-89-0;1653,2
36653-82-4;26,2
23135-22-0;4,2
61702-44-1;1852,1
7786-61-0;2453,2
335-67-1;1382,2
42874-03-3;1626,2
57-41-0;1690,2
56-72-4;1652,1
520-18-3;2453,2
64902-72-3;20,2
112-25-4;1373,2
368832-42-2;1683,2
10043-35-3;20,2
74051-80-2;11,2
NOCAS_47353;30,2
120-12-7;26,2
134-62-3;1627,2
42509-80-8;1626,2
1912-24-9;1852,2
102-27-2;28,2
67747-09-5;1621,2
114311-32-9;1614,2
205-99-2;1372,2
92-87-5;2,2
112809-51-5;1508,2
85532-75-8;1387,1
30560-19-1;1631,2
188425-85-6;1654,2
98-87-3;1856,2
526-75-0;1848,2
NOCAS_47333;1681,2
72-43-5;1617,1
16672-87-0;1647,2
120-72-9;2453,2
110488-70-5;1657,1
64091-91-4;1852,2
22224-92-6;18,2
106-47-8;1373,2
3147-75-9;1380,2
51-24-1;1380,2
99-93-4;2,2
3825-26-1;36,2
464-45-9;2,2
NOCAS_47381;1388,2
131-70-4;1850,2
330-55-2;20,2
102-76-1;40,2
90-43-7;1611,2
51-30-9;24,2
82558-50-7;17,2
136-60-7;24,2
186392-65-4;38,2
826-62-0;32,2
62-75-9;1856,2
98886-44-3;1622,2
58-89-9;6,2
88671-89-0;2444,2
302-79-4;40,2
2593-15-9;14,2
72178-02-0;29,2
188425-85-6;35,2
95-80-7;1380,2
150-68-5;1384,2
6734-80-1;10,2
353280-07-6;1852,2
5234-68-4;20,2
99129-21-2;2453,2
30560-19-1;1628,2
57-55-6;40,2
58-55-9;28,2
625-55-8;1509,2
108-45-2;30,2
76-83-5;2,1
34256-82-1;1384,2
110-65-6;2,2
33629-47-9;1683,1
4376-18-5;1642,2
464-49-3;1856,2
24307-26-4;1639,2
109293-98-3;1852,2
15625-89-5;1852,1
144550-36-7;1379,2
864283-48-7;1375,2
188425-85-6;1652,1
2550-40-5;2452,2
647-42-7;33,2
88671-89-0;1797,1
50-55-5;39,2
271-89-6;26,2
112410-23-8;27,2
68515-49-1;1378,2
126-73-8;34,2
1134-23-2;1378,2
36673-16-2;1680,2
94-28-0;26,2
118-52-5;2451,2
52806-53-8;2,1
98967-40-9;2,2
3871-99-6;24,2
110-05-4;1386,2
87546-18-7;22,1
103-23-1;39,2
13684-56-5;1852,2
108-91-8;1386,2
2155-70-6;29,1
1610-18-0;1636,1
79-94-7;1380,2
5232-99-5;2,2
1843-05-6;27,2
82657-04-3;1622,2
291305-06-1;1387,2
602-01-7;27,2
107-98-2;1855,2
13311-84-7;30,2
3380-34-5;1509,1
94-75-7;13,2
29091-21-2;1639,2
288104-79-0;1857,1
141-66-2;1629,2
1120-36-1;30,2
33189-72-9;2,2
94125-34-5;1612,2
131-56-6;2451,2
87546-18-7;28,2
107-98-2;1387,2
134-03-2;27,2
103-29-7;2453,2
102851-06-9;2451,2
315-22-0;2451,2
76-87-9;8,2
80844-07-1;1857,1
94-75-7;2452,2
NOCAS_47299;1382,2
43121-43-3;1625,2
111812-58-9;2447,2
33089-61-1;1637,2
155569-91-8;1631,2
101-20-2;1690,2
5902-51-2;13,2
1929-82-4;1383,2
107-70-0;1852,2
584-79-2;9,2
105624-86-0;1683,2
148-79-8;38,2
113734-18-2;1386,2
25057-89-0;1651,2
1478-61-1;1389,1
51-21-8;1688,2
123-00-2;1856,2
1929-82-4;2452,2
962-58-3;19,2
150-13-0;2,1
105512-06-9;1655,2
2312-35-8;1388,2
42874-03-3;1377,2
51-03-6;1624,2
51235-04-2;1378,2
214535-77-0;2446,2
149877-41-8;25,2
127-07-1;38,2
2687-96-9;1381,2
83-41-0;37,2
115-77-5;1856,2
2385-85-5;1850,2
821-55-6;2,2
10265-92-6;1848,2
80-05-7;1383,1
76738-62-0;1634,2
17804-35-2;1387,2
102-76-1;1381,2
789-02-6;1389,2
139-40-2;1387,2
92-68-2;1378,2
25498-49-1;33,2
84852-15-3;1385,2
114369-43-6;1628,2
54982-83-1;2451,2
2043-57-4;38,2
446-72-0;1688,2
330-55-2;2442,1
330-54-1;25,2
5902-51-2;1635,2
153233-91-1;1797,2
122008-85-9;32,2
86386-73-4;35,2
52-68-6;1656,2
4449-51-8;31,2
103361-09-7;1373,2
577-11-7;37,2
5234-68-4;14,2
71751-41-2;1376,1
206-44-0;30,2
94-82-6;1637,2
19774-82-4;38,1
110-01-0;2,2
107534-96-3;1385,2
52-01-7;1379,2
21725-46-2;1384,2
60-54-8;31,2
84-74-2;10,2
7696-12-0;2451,2
96182-53-5;1633,1
124495-18-7;18,2
144651-06-9;1654,2
123312-89-0;7,2
131983-72-7;1646,2
123-51-3;1376,2
219714-96-2;2452,2
521-18-6;25,1
253450-09-8;2453,2
80-05-7;2450,2
99-51-4;40,2
110-85-0;1384,2
129298-91-5;2451,2
94-59-7;30,2
68392-35-8;2298,1
1987-50-4;1510,1
56-72-4;1624,2
31218-83-4;1855,2
134-62-3;1507,2
78587-05-0;1651,2
62-38-4;26,2
111-11-5;1857,2
439687-69-1;1686,2
102-27-2;1797,2
650-51-1;1382,2
120116-88-3;1619,2
53-86-1;25,2
24307-26-4;11,2
330-55-2;1650,2
51338-27-3;1650,2
1634-78-2;1621,2
NOCAS_47377;2453,2
77-78-1;35,2
79538-32-2;1382,1
50-35-1;1386,2
104-51-8;32,2
19044-88-3;2,2
110488-70-5;1634,2
120-71-8;1797,2
427-51-0;34,2
1843-05-6;1382,2
114-26-1;30,2
1563-66-2;1386,1
496-72-0;1376,2
3681-71-8;1855,2
NOCAS_47362;2443,2
919-30-2;1852,2
333-41-5;1618,2
57-91-0;29,1
59669-26-0;10,2
13171-00-1;1855,2
2550-40-5;1507,1
95-49-8;1376,2
35575-96-3;1617,2
89-71-4;1856,2
96182-53-5;31,2
625-55-8;1508,2
1763-23-1;28,2
5902-51-2;1658,2
92-15-9;1852,2
112-05-0;29,2
134-62-3;1633,1
54-85-3;1850,2
6088-51-3;2,1
126833-17-8;37,2
101-20-2;28,2
74115-24-5;1615,2
599-64-4;2304,2
341031-54-7;1509,1
35256-85-0;32,2
5902-51-2;1381,2
122836-35-5;17,2
121-75-5;1680,2
88-24-4;1857,1
138-86-3;1852,2
95-87-4;37,2
145701-21-9;1636,1
584-79-2;1381,2
84-74-2;1652,2
39515-41-8;1634,2
87-61-6;32,2
62924-70-3;1379,2
3689-24-5;2453,2
3855-32-1;31,2
62-73-7;1372,2
52-24-4;2452,2
68694-11-1;1389,2
194098-25-4;1856,1
330-55-2;1623,2
15307-79-6;1387,2
59756-60-4;26,2
1610-18-0;23,2
122-62-3;24,2
86-98-6;1852,2
120-32-1;1377,2
137-26-8;2298,1
94-81-5;1850,2
1634-78-2;1638,2
89-72-5;1850,2
3380-34-5;1649,2
55406-53-6;1654,2
532-32-1;1797,2
94-96-2;1852,2
120-32-1;1855,2
NOCAS_47328;30,2
5902-51-2;7,2
NOCAS_47362;1852,2
94125-34-5;1637,2
744-45-6;1681,2
136-45-8;1613,2
1698-60-8;1633,2
100-25-4;2453,2
4376-20-9;1642,2
4455-26-9;23,2
83-67-0;30,2
28940-11-6;1852,2
120-47-8;34,2
51338-27-3;11,2
3825-26-1;1852,2
28631-66-5;1855,2
NOCAS_34742;1638,2
91-62-3;1385,2
1212-29-9;2,2
111-30-8;1372,2
58-89-9;1658,2
115-32-2;1625,2
92-52-4;1386,2
97-56-3;2452,2
19666-30-9;7,2
3811-73-2;33,2
2425-06-1;1648,2
55406-53-6;1615,2
104795-68-8;1381,2
103-69-5;31,2
111988-49-9;15,2
139340-56-0;1848,2
2605-79-0;24,2
556-61-6;21,2
2425-06-1;1651,2
77-93-0;25,2
533-74-4;21,2
100-01-6;1382,2
23135-22-0;1626,2
94-74-6;27,2
2058-94-8;1381,2
99-96-7;1857,1
68359-37-5;1688,2
23135-22-0;1650,2
19774-82-4;2,2
87546-18-7;1385,2
3653-48-3;1850,2
76-87-9;1688,2
120-80-9;1377,2
96-09-3;40,2
111-14-8;1850,2
80-05-7;1388,2
120-36-5;24,2
111-20-6;1850,1
NOCAS_44337;13,2
124-18-5;1683,2
141112-29-0;1614,2
548-62-9;1507,1
136-77-6;40,1
179465-71-5;39,2
111-15-9;1378,2
647-42-7;1797,2
22224-92-6;1373,1
862243-29-6;32,2
33820-53-0;40,1
103-69-5;1373,2
19666-30-9;1649,1
59669-26-0;1640,2
95-65-8;1855,2
79622-59-6;20,1
50892-23-4;2452,2
2433-14-9;23,2
4376-20-9;26,2
533-74-4;1626,2
127308-82-1;25,1
135410-20-7;1641,2
67747-09-5;1625,2
97780-06-8;38,2
19666-30-9;5,2
115-29-7;1637,2
83657-24-3;1640,2
64-19-7;34,1
104-76-7;40,2
134605-64-4;1621,2
12427-38-2;1651,2
1918-00-9;1624,2
24307-26-4;1657,2
140-67-0;2,2
52-85-7;1852,2
544-76-3;1381,2
141-66-2;1634,2
97886-45-8;6,2
79983-71-4;1681,2
43222-48-6;1691,1
203942-49-8;1508,1
123-51-3;1385,2
14765-30-1;1852,2
3380-34-5;2450,2
122008-85-9;26,2
2433-14-9;2,2
109-43-3;1852,2
145701-21-9;1612,2
78-48-8;1642,1
446-72-0;2,1
76-87-9;16,2
104098-48-8;13,2
175013-18-0;1631,1
131860-33-8;1641,2
29091-21-2;2452,2
112529-15-4;1858,1
93-68-5;2452,2
36653-82-4;1690,2
147-24-0;35,2
637-07-0;2305,2
88-60-8;1379,2
119-61-9;2452,2
98-01-1;1507,1
8018-01-7;1507,1
142-62-1;1850,2
51-30-9;30,2
1934-21-0;25,2
599-79-1;1855,2
136-77-6;1373,2
3424-82-6;2,2
1897-45-6;1611,2
123-31-9;40,1
51338-27-3;1797,2
108-95-2;1855,2
131-55-5;1848,1
121-14-2;1687,2
2432-87-3;1386,2
50-65-7;1622,2
78587-05-0;3,2
14484-47-0;2452,2
71283-80-2;1857,1
115-86-6;1385,2
29091-21-2;38,2
30516-87-1;38,2
59-05-2;31,2
57-97-6;2452,2
5742-17-6;2,2
12427-38-2;2303,2
78587-05-0;16,2
112529-15-4;1376,2
117428-22-5;1686,2
29091-21-2;1642,1
27178-16-1;23,2
838-88-0;1850,2
58-89-9;1615,2
8014-17-3;2,2
51-21-8;2,2
104098-48-8;1375,2
1333-39-7;1850,2
2392-39-4;1379,2
2058-94-8;1386,2
330-55-2;1629,2
96-18-4;1690,2
56-38-2;8,2
119-65-3;2452,2
39196-18-4;1852,1
1763-23-1;2,2
88-12-0;37,2
145-73-3;1387,2
556-61-6;1634,2
110-85-0;1381,2
95-95-4;31,2
148477-71-8;1632,2
131860-33-8;1507,1
85264-33-1;1855,2
834-12-8;2453,2
102-20-5;2,2
584-79-2;2,2
90-43-7;23,2
96-48-0;1680,2
1120-71-4;1383,2
149979-41-9;1642,2
584-79-2;1382,2
23564-05-8;11,2
26172-55-4;1850,1
107-18-6;1855,2
111-44-4;37,2
1763-23-1;1507,1
139-13-9;35,2
7540-51-4;2,2
149-30-4;1378,1
142-18-7;1850,2
52-68-6;1385,2
79241-46-6;1623,2
10453-86-8;1385,2
95-94-3;29,2
534-13-4;2452,2
107534-96-3;2444,1
29590-42-9;1382,2
69-65-8;1376,2
15972-60-8;2452,2
637-07-0;1383,1
103-65-1;23,2
6923-22-4;1855,2
50471-44-8;1636,2
119168-77-3;39,2
5328-37-0;2453,2
88-24-4;2452,2
138261-41-3;1388,2
161050-58-4;16,2
161050-58-4;9,2
23950-58-5;1855,1
2687-25-4;1375,2
106-44-5;1378,2
64-19-7;29,1
119-90-4;35,2
7696-12-0;9,2
562-10-7;2452,2
34014-18-1;13,2
230954-09-3;1508,1
13194-48-4;2444,1
63-92-3;2451,2
77501-63-4;1379,2
6846-50-0;29,2
298-00-0;1509,2
99-59-2;31,2
115-96-8;1379,2
73-22-3;1687,2
95-57-8;1377,2
111-42-2;1682,1
85532-75-8;1372,2
3811-73-2;1389,2
126-73-8;35,2
51218-45-2;1857,1
103361-09-7;1623,2
12427-38-2;37,2
72-54-8;1683,2
29232-93-7;1647,1
146011-65-6;2453,2
110488-70-5;1388,2
82558-50-7;12,2
88-60-8;2450,2
105-60-2;1388,2
300-76-5;26,2
80-05-7;1509,1
95-48-7;28,2
112-35-6;1852,2
15307-79-6;1682,2
50471-44-8;1613,2
112529-15-4;1682,1
115-32-2;1510,1
1763-23-1;1688,2
99-99-0;1852,2
314-40-9;1638,2
298-00-0;1657,2
56-04-2;26,2
1335-46-2;2,2
76738-62-0;1645,2
54593-83-8;1385,2
219790-72-4;2,2
2110-18-1;1857,2
113-48-4;37,2
82657-04-3;2303,2
62-23-7;1855,2
114369-43-6;1655,2
99-71-8;34,2
93-08-3;1850,2
3844-45-9;25,2
118-55-8;1856,1
NOCAS_47248;30,2
1062243-51-9;33,2
196808-45-4;27,2
129453-61-8;2304,2
104-67-6;23,2
105-13-5;2453,2
